codigo pais m49,codigo iso3,pais origen,anio,capitulo,valor dolares cif,valor dolares cif log,continente,region,bloque economico
276,DEU,Alemania,2025,"Aparatos y material eléctrico, de grabación o imagen",121916630.18,8.08606295,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,Caucho y manufacturas,22613573.25,7.354369192,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,Cobre y sus manufacturas,45748902.71,7.660380682,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,"Extractos curtientes, pinturas, tintas",33592336.6,7.526240213,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,"Instrumentos y aparatos de óptica, fotografía, cinematografía",171230291.89,8.233580597,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,"Manufactura de fundición, de hierro o acero",30706500.02,7.487230318,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,Materias plásticas y manufacturas,106219420.35,8.026203927,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,Navegación aérea o espacial,978580.18,5.990596415,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,"Papel, cartón y sus manufacturas",43365673.93,7.6371461,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,Productos diversos de las industrias químicas,108370436.63,8.034910823,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,Productos farmacéuticos,552469580.18,8.74230837,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,Productos químicos inorgánicos,18992705.71,7.278586839,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,Productos químicos orgánicos,147995114.0,8.170247378,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,"Reactores nucleares, calderas, máquinas y partes",376265856.13,8.57549481,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,TOTAL,2320905589.81,9.365657475,Europa,Europa Occidental,OCDE
276,DEU,Alemania,2025,"Vehículos, partes y accesorios",233274191.05,8.367866692,Europa,Europa Occidental,OCDE
20,AND,Andorra,2025,TOTAL,6141.83,3.788297791,Europa,Europa Occidental,
24,AGO,Angola,2025,TOTAL,10419.0,4.017826038,África,Resto de África,
660,AIA,Anguila,2025,TOTAL,1229.65,3.089781514,América,Centroamérica y Caribe,
682,SAU,Arabia Saudita,2025,TOTAL,23187926.24,7.36526191,Asia,Asia Occidental,BRICS
12,DZA,Argelia,2025,TOTAL,69710674.07,7.843299282,África,Norte de África,
32,ARG,Argentina,2025,Algodón,112657.01,5.051758221,América,Sudamérica,
32,ARG,Argentina,2025,Cereales,99215206.4,7.99657824,América,Sudamérica,
32,ARG,Argentina,2025,Grasas y aceites animales o vegetales,128898014.13,8.110246226,América,Sudamérica,
32,ARG,Argentina,2025,Productos diversos de las industrias químicas,15844642.74,7.199882451,América,Sudamérica,
32,ARG,Argentina,2025,Residuos industrias alimentarias. Alimentos para animales,8133504.84,6.910277729,América,Sudamérica,
32,ARG,Argentina,2025,TOTAL,967838141.55,8.985802733,América,Sudamérica,
32,ARG,Argentina,2025,"Vehículos, partes y accesorios",370904586.87,8.569262204,América,Sudamérica,
51,ARM,Armenia,2025,TOTAL,161121.47,5.207153416,Asia,Asia Occidental,
533,ABW,Aruba,2025,TOTAL,30140.91,4.47915636,América,Centroamérica y Caribe,
36,AUS,Australia,2025,TOTAL,68507588.98,7.835738683,Oceanía,Oceanía,OCDE
40,AUT,Austria,2025,TOTAL,174667441.34,8.242211958,Europa,Europa Occidental,OCDE
31,AZE,Azerbaiyán,2025,TOTAL,52251.03,4.718094856,Asia,Asia Occidental,
44,BHS,Bahamas,2025,TOTAL,7088.94,3.850581301,América,Centroamérica y Caribe,
48,BHR,Bahrein,2025,TOTAL,26739099.95,7.427146785,Asia,Asia Occidental,
50,BGD,Bangladesh,2025,TOTAL,104980340.03,8.021107975,Asia,Asia Meridional,
52,BRB,Barbados,2025,TOTAL,48306.88,4.684008989,América,Centroamérica y Caribe,
112,BLR,Belarús,2025,TOTAL,447852.79,5.651135284,Europa,Europa Oriental,
84,BLZ,Belice,2025,TOTAL,84783.53,4.928311495,América,Centroamérica y Caribe,
204,BEN,Benin,2025,TOTAL,261391.34,5.417291195,África,Resto de África,
60,BMU,Bermuda,2025,TOTAL,4.96,0.695481676,América,Centroamérica y Caribe,
68,BOL,Bolivia (Estado Plurinacional de),2025,Grasas y aceites animales o vegetales,261050363.51,8.416724302,América,Sudamérica,CAN
68,BOL,Bolivia (Estado Plurinacional de),2025,Residuos industrias alimentarias. Alimentos para animales,42370082.03,7.627059305,América,Sudamérica,CAN
68,BOL,Bolivia (Estado Plurinacional de),2025,TOTAL,408985758.13,8.611708185,América,Sudamérica,CAN
70,BIH,Bosnia y Herzegovina,2025,TOTAL,1117209.29,6.048134538,Europa,Europa Meridional,
72,BWA,Botswana,2025,TOTAL,4189.08,3.622118654,África,Resto de África,
76,BRA,Brasil,2025,"Aceites esenciales, perfumería, cosméticos",109341222.55,8.038783925,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Algodón,29660268.88,7.472175084,América,Sudamérica,BRICS
76,BRA,Brasil,2025,"Aparatos y material eléctrico, de grabación o imagen",133653490.71,8.125980306,América,Sudamérica,BRICS
76,BRA,Brasil,2025,"Calzado, botines, artículos análogos y partes",44739288.6,7.650689074,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Caucho y manufacturas,92795898.8,7.967528783,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Cereales,29601424.28,7.471312608,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Cobre y sus manufacturas,9260547.63,6.96663667,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Disposiciones de tratamiento especial,12704508.6,7.103957872,América,Sudamérica,BRICS
76,BRA,Brasil,2025,"Extractos curtientes, pinturas, tintas",21645243.38,7.335362473,América,Sudamérica,BRICS
76,BRA,Brasil,2025,"Fundición, hierro y acero",95210078.65,7.978682924,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Grasas y aceites animales o vegetales,12316637.73,7.090492168,América,Sudamérica,BRICS
76,BRA,Brasil,2025,"Manufactura de fundición, de hierro o acero",23037951.12,7.362443852,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Materias plásticas y manufacturas,194120953.68,8.288072416,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Navegación aérea o espacial,3167625.85,6.500733878,América,Sudamérica,BRICS
76,BRA,Brasil,2025,"Papel, cartón y sus manufacturas",134230299.79,8.12785056,América,Sudamérica,BRICS
76,BRA,Brasil,2025,Productos diversos de las industrias químicas,108913802.25,8.03708292,América,Sudamérica,BRICS
